"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH"
"332",2021-01-26,11.5357142857143,12.2142857142857,7,19.6428571428571,4.14285714285714,18.2342342342342,21.981981981982,11.0900900900901,33.6216216216216,6.72072072072072,31.3333333333333,32,14.3333333333333,56.3333333333333,11.3333333333333
"333",2021-01-27,11.6428571428571,13.1785714285714,6.42857142857143,19.6785714285714,3.82142857142857,18.2432432432432,21.4864864864865,11.036036036036,33.2702702702703,6.93693693693694,31,32.6666666666667,19.3333333333333,54.6666666666667,8
"334",2021-01-28,10.8571428571429,12.3571428571429,6.85714285714286,18.7857142857143,3.89285714285714,17.963963963964,20.045045045045,10.9369369369369,32.4594594594595,6.72072072072072,27.3333333333333,35.6666666666667,13.3333333333333,50.3333333333333,8.33333333333333
"335",2021-01-29,10.7857142857143,12.7142857142857,6.85714285714286,18.7142857142857,3.78571428571429,17.2972972972973,20.2252252252252,11.3423423423423,31.1081081081081,6.81981981981982,24,32,21.3333333333333,53,8.66666666666667
"336",2021-01-30,10.0357142857143,11.5357142857143,6.03571428571429,18.8214285714286,3.67857142857143,16.981981981982,20.2342342342342,11.6036036036036,31.0630630630631,6.55855855855856,26.3333333333333,33,17.3333333333333,45.3333333333333,9
"337",2021-01-31,9.96428571428571,11.1785714285714,6.10714285714286,18.5357142857143,3.96428571428571,17.1441441441441,19.6036036036036,10.7747747747748,30.2522522522523,6.3963963963964,29.3333333333333,29.6666666666667,16.6666666666667,47,9.66666666666667
"338",2021-02-01,10.8214285714286,10.75,6,18.1071428571429,3.35714285714286,16.045045045045,19.972972972973,10.2522522522523,30.8558558558559,6.07207207207207,26.6666666666667,27.3333333333333,19,40.6666666666667,8
"339",2021-02-02,9.07142857142857,10.9642857142857,6.53571428571429,17.7857142857143,4.17857142857143,16.5405405405405,18.5675675675676,10.4954954954955,29.4054054054054,5.91891891891892,25,25.3333333333333,16.3333333333333,45,8.66666666666667
"340",2021-02-03,10.3928571428571,10.9285714285714,4.78571428571429,17.8214285714286,3.78571428571429,16.045045045045,18.4594594594595,9.71171171171171,28.5045045045045,5.94594594594595,23.3333333333333,22.6666666666667,14,47,6
"341",2021-02-04,8.78571428571429,10.5,5.82142857142857,16.6428571428571,3.32142857142857,16.1891891891892,17.7117117117117,9.59459459459459,28.8198198198198,6.01801801801802,25,25.3333333333333,15.6666666666667,40.3333333333333,9.33333333333333
"342",2021-02-05,9.64285714285714,9.89285714285714,6.35714285714286,16.5,2.89285714285714,15.1081081081081,17.7027027027027,9.63963963963964,29.018018018018,5.31531531531532,17.6666666666667,20.3333333333333,17.3333333333333,45.3333333333333,5.33333333333333
"343",2021-02-06,9.21428571428571,10.9285714285714,5.78571428571429,16.4285714285714,4.03571428571429,14.8648648648649,17.7207207207207,9.23423423423423,27.8468468468468,5.51351351351351,16.6666666666667,26,12,38.6666666666667,8.33333333333333
"344",2021-02-07,9.28571428571429,10.6071428571429,6.46428571428571,16.25,3.60714285714286,15.5675675675676,18.4324324324324,9.25225225225225,27.4234234234234,5.42342342342342,19,23,12.3333333333333,41.6666666666667,7
"345",2021-02-08,9.28571428571429,9.92857142857143,5.82142857142857,15.1785714285714,3.64285714285714,15.0720720720721,17.2882882882883,8.67567567567568,26.2612612612613,5.24324324324324,19.3333333333333,22.6666666666667,16,33,5.33333333333333
